Column 1,Spell.txt Column 137,Index,Spell.txt Column 209
77,Arcane Mind,2,0
1726,Prismatic Cloak,2,3
421,Arcane Instability,2,3
1725,Arcane Potency,2,3
1727,Arcane Empowerment,2,3
1844,Incanter's Absorption,2,0
1843,Arcane Flows,2,3
1728,Mind Mastery,2,3
2209,Missile Barrage,2,3
1846,Netherwind Presence,2,3
1826,Spell Power,2,3
124,Improved Heroic Strike,2,4
130,Deflection,2,0
127,Improved Rend,2,4
126,Improved Charge,2,4
641,Iron Will,2,0
128,Tactical Mastery,2,4
131,Improved Overpower,2,4
662,Impale,2,4
121,Deep Wounds,2,4
136,Two-Handed Weapon Specialization,2,0
2232,Taste for Blood,2,4
132,Poleaxe Specialization,2,0
125,Mace Specialization,2,0
123,Sword Specialization,2,0
134,Weapon Mastery,2,0
129,Improved Hamstring,2,4
1859,Trauma,2,0
1663,Second Wind,2,4
1862,Strength of Arms,2,0
2233,Improved Slam,2,4
1824,Improved Mortal Strike,2,4
1860,Unrelenting Assault,2,4
1662,Sudden Death,2,0
1664,Blood Frenzy,2,4
2231,Wrecking Crew,2,0
142,Improved Bloodrage,2,4
1601,Shield Specialization,2,4
141,Improved Thunder Clap,2,4
144,Incite,2,4
138,Anticipation,2,0
147,Improved Revenge,2,4
1654,Shield Mastery,2,4
140,Toughness,2,4
2247,Improved Spell Reflection,2,4
151,Improved Disarm,2,4
146,Puncture,2,4
150,Improved Disciplines,2,4
149,Gag Order,2,4
702,One-Handed Weapon Specialization,2,0
1652,Improved Defensive Stance,2,0
1660,Focused Rage,2,4
1653,Vitality,2,0
1870,Safeguard,2,4
1893,Critical Block,2,4
1871,Sword and Board,2,4
2246,Damage Shield,2,4
2250,Armored to the Teeth,2,4
158,Booming Voice,2,4
157,Cruelty,2,0
161,Improved Demoralizing Shout,2,4
159,Unbridled Wrath,2,0
166,Improved Cleave,2,4
661,Blood Craze,2,0
154,Commanding Presence,2,4
1581,Dual Wield Specialization,2,4
1542,Improved Execute,2,4
155,Enrage,2,4
1657,Precision,2,0
1543,Improved Intercept,2,4
1541,Improved Berserker Rage,2,4
156,Flurry,2,0
1864,Intensify Rage,2,4
1655,Improved Whirlwind,2,4
1865,Furious Attacks,2,0
1658,Improved Berserker Stance,2,4
1866,Bloodsurge,2,4
2234,Unending Fury,2,4
203,Improved Gouge,2,8
201,Improved Sinister Strike,2,8
221,Dual Wield Specialization,2,8
1827,Improved Slice and Dice,2,8
187,Deflection,2,0
181,Precision,2,0
204,Endurance,2,8
182,Close Quarters Combat,2,0
206,Improved Kick,2,8
222,Improved Sprint,2,8
186,Lightning Reflexes,2,0
1122,Aggression,2,8
184,Mace Specialization,2,0
242,Hack and Slash,2,0
1703,Weapon Expertise,2,0
1706,Blade Twisting,2,8
1705,Vitality,2,0
1707,Nerves of Steel,2,0
2072,Throwing Specialization,2,8
1825,Combat Potency,2,8
2073,Unfair Advantage,2,0
2074,Savage Combat,2,8
2075,Prey on the Weak,2,0
276,Improved Eviscerate,2,8
272,Remorseless Attacks,2,0
270,Malice,2,0
273,Ruthlessness,2,8
2068,Blood Spatter,2,8
277,Puncturing Wounds,2,8
278,Improved Expose Armor,2,8
269,Lethality,2,8
682,Vile Poisons,2,8
268,Improved Poisons,2,8
1721,Fleet Footed,2,0
279,Improved Kidney Shot,2,8
1762,Quick Recovery,2,8
283,Seal Fate,2,8
274,Murder,2,8
2065,Deadly Brew,2,8
1723,Deadened Nerves,2,8
2069,Focused Attacks,2,0
1718,Find Weakness,2,8
1715,Master Poisoner,2,8
2066,Turn the Tables,2,0
2070,Cut to the Chase,2,8
2244,Relentless Strikes,2,8
241,Master of Deception,2,0
261,Opportunity,2,8
1700,Sleight of Hand,2,8
262,Dirty Tricks,2,8
244,Camouflage,2,8
247,Elusiveness,2,8
1123,Serrated Blades,2,8
246,Setup,2,0
245,Initiative,2,8
263,Improved Ambush,2,8
1701,Heightened Senses,2,0
265,Dirty Deeds,2,8
1713,Master of Subtlety,2,0
1702,Deadliness,2,0
1711,Enveloping Shadows,2,0
1722,Cheat Death,2,8
1712,Sinister Calling,2,8
2077,Waylay,2,8
2078,Honor Among Thieves,2,0
2079,Filthy Tricks,2,8
2080,Slaughter from the Shadows,2,8
342,Unbreakable Will,2,0
1898,Twin Disciplines,2,6
352,Silent Resolve,2,6
346,Improved Inner Fire,2,6
344,Improved Power Word: Fortitude,2,6
321,Martyrdom,2,0
347,Meditation,2,0
343,Improved Power Word: Shield,2,6
1769,Absolution,2,6
341,Mental Agility,2,6
350,Improved Mana Burn,2,6
2268,Reflective Shield,2,6
1201,Mental Strength,2,0
1771,Focused Power,2,6
1772,Enlightenment,2,6
1858,Focused Will,2,0
1773,Improved Flash Heal,2,6
2235,Renewed Hope,2,6
1896,Rapture,2,6
1894,Aspiration,2,6
1895,Divine Aegis,2,6
1901,Grace,2,6
1202,Borrowed Time,2,6
410,Healing Focus,2,6
406,Improved Renew,2,6
401,Holy Specialization,2,6
411,Spell Warding,2,6
1181,Divine Fury,2,6
1636,Blessed Recovery,2,6
361,Inspiration,2,6
1635,Holy Reach,2,6
408,Improved Healing,2,6
403,Searing Light,2,6
413,Healing Prayers,2,6
402,Spiritual Guidance,2,6
1766,Surge of Light,2,6
404,Spiritual Healing,2,6
1768,Holy Concentration,2,6
1765,Blessed Resilience,2,6
2279,Body and Soul,2,6
1767,Empowered Healing,2,6
1904,Serendipity,2,6
1902,Empowered Renew,2,6
1903,Test of Faith,2,6
1905,Divine Providence,2,6
465,Spirit Tap,2,0
2027,Improved Spirit Tap,2,6
462,Darkness,2,6
466,Shadow Affinity,2,6
482,Improved Shadow Word: Pain,2,6
463,Shadow Focus,2,6
542,Improved Psychic Scream,2,6
481,Improved Mind Blast,2,6
483,Veiled Shadows,2,6
881,Shadow Reach,2,6
461,Shadow Weaving,2,6
1638,Improved Vampiric Embrace,2,6
1777,Focused Mind,2,6
1781,Mind Melt,2,6
2267,Improved Devouring Plague,2,6
1778,Shadow Power,2,6
1906,Improved Shadowform,2,6
1816,Misery,2,6
1909,Pain and Suffering,2,6
1907,Twisted Faith,2,6
564,Convection,2,11
563,Concussion,2,11
561,Call of Flame,2,11
1640,Elemental Warding,2,11
1645,Elemental Devastation,2,11
575,Reverberation,2,11
565,Elemental Fury,2,11
567,Improved Fire Nova,2,11
1642,Eye of the Storm,2,11
1641,Elemental Reach,2,11
1682,Unrelenting Storm,2,11
1685,Elemental Precision,2,11
721,Lightning Mastery,2,11
2052,"Storm, Earth and Fire",2,11
2262,Booming Echoes,2,11
2049,Elemental Oath,2,11
1686,Lightning Overload,2,11
2050,Astral Shift,2,11
2051,Lava Flows,2,11
2252,Shamanism,2,11
586,Improved Healing Wave,2,11
595,Totemic Focus,2,11
589,Improved Reincarnation,2,11
1646,Healing Grace,2,11
593,Tidal Focus,2,11
583,Improved Water Shield,2,11
587,Healing Focus,2,11
581,Ancestral Healing,2,11
588,Restorative Totems,2,11
594,Tidal Mastery,2,11
1648,Healing Way,2,11
1695,Focused Mind,2,11
592,Purification,2,11
1699,Nature's Guardian,2,11
2060,Blessing of the Eternals,2,11
1697,Improved Chain Heal,2,11
1696,Nature's Blessing,2,11
2061,Ancestral Awakening,2,11
2059,Improved Earth Shield,2,11
2063,Tidal Waves,2,11
610,Enhancing Totems,2,11
2101,Earth's Grasp,2,11
614,Ancestral Knowledge,2,0
609,Guardian Totems,2,11
613,Thundering Strikes,2,0
605,Improved Ghost Wolf,2,11
607,Improved Shields,2,11
611,Elemental Weapons,2,11
601,Anticipation,2,0
602,Flurry,2,0
615,Toughness,2,0
1647,Improved Windfury Totem,2,11
2083,Mental Dexterity,2,11
1689,Unleashed Rage,2,0
1643,Weapon Mastery,2,0
2263,Frozen Power,2,11
1692,Dual Wield Specialization,2,8
2055,Static Shock,2,11
2054,Improved Stormstrike,2,11
1691,Mental Quickness,2,11
2056,Earthen Power,2,11
2057,Maelstrom Weapon,2,11
796,Ferocity,2,7
795,Feral Aggression,2,7
799,Feral Instinct,2,7
805,Savage Fury,2,7
794,Thick Hide,2,0
807,Feral Swiftness,2,7
798,Sharpened Claws,2,0
802,Shredding Attacks,2,7
803,Predatory Strikes,2,7
801,Primal Fury,2,0
1914,Primal Precision,2,7
797,Brutal Impact,2,7
1792,Nurturing Instinct,2,7
2242,Natural Reaction,2,7
808,Heart of the Wild,2,0
1794,Survival of the Fittest,2,7
1798,Improved Leader of the Pack,2,7
1793,Primal Tenacity,2,7
2241,Protector of the Pack,2,7
1795,Predatory Instincts,2,7
1919,Infected Wounds,2,7
1921,King of the Jungle,2,7
1920,Improved Mangle,2,7
1918,Rend and Tear,2,7
821,Improved Mark of the Wild,2,7
823,Nature's Focus,2,7
822,Furor,2,7
824,Naturalist,2,7
841,Subtlety,2,7
826,Natural Shapeshifter,2,7
829,Intensity,2,7
1915,Master Shapeshifter,2,0
843,Tranquil Spirit,2,7
830,Improved Rejuvenation,2,7
828,Gift of Nature,2,7
842,Improved Tranquility,2,7
1788,Empowered Touch,2,7
825,Nature's Bounty,2,7
1797,Living Spirit,2,7
1790,Natural Perfection,2,7
1789,Empowered Rejuvenation,2,7
1922,Living Seed,2,7
1929,Revitalize,2,7
1930,Improved Tree of Life,2,7
2264,Improved Barkskin,2,7
1916,Gift of the Earthmother,2,7
762,Starlight Wrath,2,7
2238,Genesis,2,7
783,Moonglow,2,7
1822,Nature's Majesty,2,7
763,Improved Moonfire,2,7
782,Brambles,2,7
789,Nature's Grace,2,7
764,Nature's Reach,2,7
792,Vengeance,2,7
784,Celestial Focus,2,7
1782,Lunar Guidance,2,7
2239,Improved Insect Swarm,2,7
1784,Dreamstate,2,7
790,Moonfury,2,7
1783,Balance of Power,2,7
1912,Improved Moonkin Form,2,7
1785,Improved Faerie Fire,2,7
1913,Owlkin Frenzy,2,3
1786,Wrath of Cenarius,2,7
1924,Eclipse,2,7
1925,Gale Winds,2,7
1928,Earth and Moon,2,7
944,Improved Shadow Bolt,2,5
943,Bane,2,5
982,Aftermath,2,5
1887,Molten Skin,2,8
941,Cataclysm,2,5
983,Demonic Power,2,5
967,Ruin,2,5
985,Intensity,2,5
964,Destructive Reach,2,5
965,Improved Searing Pain,2,5
1817,Backlash,2,3
961,Improved Immolate,2,5
1679,Nether Protection,2,5
966,Emberstorm,2,5
1678,Soul Leech,2,5
986,Pyroclasm,2,5
1677,Shadow and Flame,2,5
1889,Improved Soul Leech,2,5
1888,Backdraft,2,5
2045,Empowered Imp,2,5
1890,Fire and Brimstone,2,5
1284,Improved Curse of Agony,2,5
1005,Suppression,2,5
1003,Improved Corruption,2,5
1006,Improved Curse of Weakness,2,5
1101,Improved Drain Soul,2,5
1007,Improved Life Tap,2,5
1004,Soul Siphon,2,5
2205,Improved Fear,2,5
1001,Fel Concentration,2,5
1021,Grim Reach,2,5
1002,Nightfall,2,5
1764,Empowered Corruption,2,5
1763,Shadow Embrace,2,5
1873,Improved Felhunter,2,5
1042,Shadow Mastery,2,5
1878,Eradication,2,5
1669,Contagion,2,5
1668,Improved Howl of Terror,2,5
1667,Malediction,2,5
1875,Death's Embrace,2,5
1876,Everlasting Affliction,2,5
1221,Improved Healthstone,2,5
1222,Improved Imp,2,5
1223,Demonic Embrace,2,0
1883,Fel Synergy,2,5
1224,Improved Health Funnel,2,5
1225,Demonic Brutality,2,5
1242,Fel Vitality,2,5
1243,Improved Succubus,2,5
1671,Demonic Aegis,2,5
1262,Unholy Power,2,5
1227,Master Summoner,2,5
1261,Master Conjuror,2,5
1244,Master Demonologist,2,0
1283,Molten Core,2,5
1680,Demonic Resilience,2,5
1263,Demonic Knowledge,2,5
1673,Demonic Tactics,2,5
2261,Decimation,2,5
1882,Improved Demonic Tactics,2,5
1884,Nemesis,2,5
1885,Demonic Pact,2,5
1382,Improved Aspect of the Hawk,2,9
1389,Endurance Training,2,9
1624,Focused Fire,2,9
1381,Improved Aspect of the Monkey,2,9
1395,Thick Hide,2,9
1625,Improved Revive Pet,2,9
1384,Pathfinding,2,9
1396,Unleashed Fury,2,9
1385,Improved Mend Pet,2,9
1393,Ferocity,2,9
1388,Spirit Bond,2,0
1390,Bestial Discipline,2,9
1799,Animal Handler,2,9
1397,Frenzy,2,9
1800,Ferocious Inspiration,2,9
1801,Catlike Reflexes,2,9
2136,Invigoration,2,9
1802,Serpent's Swiftness,2,9
2140,Longevity,2,9
2137,Cobra Strikes,2,9
2227,Kindred Spirits,2,9
1623,Improved Tracking,2,9
1820,Hawk Eye,2,9
1621,Savage Strikes,2,9
1310,Surefooted,2,9
1304,Entrapment,2,9
1305,Trap Mastery,2,9
1810,Survival Instincts,2,9
1622,Survivalist,2,9
1311,Deflection,2,0
1309,Survival Tactics,2,9
2229,T.N.T.,2,9
1306,Lock and Load,2,9
2228,Hunter vs. Wild,2,9
1321,Killer Instinct,2,0
1303,Lightning Reflexes,2,0
1809,Resourcefulness,2,9
1812,Expose Weakness,2,9
1811,Thrill of the Hunt,2,9
1813,Master Tactician,2,9
2141,Noxious Stings,2,9
2142,Point of No Escape,2,9
2143,Sniper Training,2,9
2144,Hunting Party,2,9
1341,Improved Concussive Shot,2,9
2197,Focused Aim,2,9
1344,Lethal Shots,2,0
1806,Careful Aim,2,9
1343,Improved Hunter's Mark,2,9
1349,Mortal Shots,2,9
1818,Go for the Throat,2,9
1346,Improved Arcane Shot,2,9
1819,Rapid Killing,2,9
1348,Improved Stings,2,9
1342,Efficiency,2,9
1351,Concussive Barrage,2,9
1347,Barrage,2,9
1804,Combat Experience,2,9
1362,Ranged Weapon Specialization,2,0
2130,Piercing Shots,2,9
1821,Improved Barrage,2,9
1807,Master Marksman,2,9
2131,Rapid Recuperation,2,9
2132,Wild Quiver,2,9
2133,Improved Steady Shot,2,9
2134,Marked for Death,2,9
1403,Deflection,2,0
1407,Benediction,2,10
1631,Improved Judgements,2,10
1464,Heart of the Crusader,2,10
1401,Improved Blessing of Might,2,10
1633,Vindication,2,0
1411,Conviction,2,0
1634,Pursuit of Justice,2,0
1632,Eye for an Eye,2,0
1761,Sanctity of Battle,2,10
1755,Crusade,2,0
1410,Two-Handed Weapon Specialization,2,0
1402,Vengeance,2,0
1757,Divine Purpose,2,0
2176,The Art of War,2,10
1758,Judgements of the Wise,2,10
1759,Fanaticism,2,10
2147,Sanctified Wrath,2,10
2148,Swift Retribution,2,10
2179,Sheath of Light,2,10
2149,Righteous Vengeance,2,10
1432,Spiritual Focus,2,10
1463,Seals of the Pure,2,10
1444,Healing Light,2,10
1449,Divine Intellect,2,0
1628,Unyielding Faith,2,0
1461,Illumination,2,10
1443,Improved Lay on Hands,2,10
1450,Improved Concentration Aura,2,10
1446,Improved Blessing of Wisdom,2,10
2198,Blessed Hands,2,10
1742,Pure of Heart,2,10
1465,Sanctified Light,2,10
1743,Purifying Power,2,10
1627,Holy Power,2,0
1745,Light's Grace,2,10
1744,Blessed Life,2,10
2190,Sacred Cleansing,2,10
1746,Holy Guidance,2,10
2199,Judgements of the Pure,2,10
2193,Infusion of Light,2,10
2191,Enlightened Judgements,2,10
1442,Divinity,2,0
2185,Divine Strength,2,0
1748,Stoicism,2,10
1425,Guardian's Favor,2,10
1629,Anticipation,2,0
1501,Improved Righteous Fury,2,10
1423,Toughness,2,0
2281,Divine Guardian,2,10
1521,Improved Hammer of Justice,2,10
1422,Improved Devotion Aura,2,10
1426,Reckoning,2,0
1750,Sacred Duty,2,10
1429,One-Handed Weapon Specialization,2,0
2282,Spiritual Attunement,2,10
1751,Ardent Defender,2,10
1421,Redoubt,2,0
1753,Combat Expertise,2,10
2195,Touched by the Light,2,10
2194,Guarded by the Light,2,10
2204,Shield of the Templar,2,10
2200,Judgements of the Just,2,10
1939,Butchery,2,15
1945,Subversion,2,15
2017,Blade Barrier,2,15
1938,Bladed Armor,2,15
1948,Scent of Blood,2,0
2217,Two-Handed Weapon Specialization,2,0
1943,Dark Conviction,2,0
2086,Death Rune Mastery,2,15
1942,Improved Rune Tap,2,15
2018,Spell Deflection,2,0
1953,Vendetta,2,15
2015,Bloody Strikes,2,15
1950,Veteran of the Third War,2,0
1944,Bloody Vengeance,2,0
2105,Abomination's Might,2,15
1960,Bloodworms,2,15
1936,Improved Blood Presence,2,15
2259,Improved Death Strike,2,15
1955,Sudden Doom,2,15
1959,Will of the Necropolis,2,15
1958,Might of Mograine,2,15
2034,Blood Gorged,2,15
2031,Improved Icy Touch,2,15
2020,Runic Power Mastery,2,15
1968,Toughness,2,0
2035,Icy Reach,2,15
1973,Black Ice,2,15
2022,Nerves of Cold Steel,2,0
2042,Icy Talons,2,15
2048,Annihilation,2,15
2044,Killing Machine,2,15
1981,Chill of the Grave,2,15
1971,Endless Winter,2,15
1990,Frigid Dreadplate,2,15
2030,Glacier Rot,2,15
1993,Merciless Combat,2,15
1992,Rime,2,15
2260,Chilblains,2,15
2029,Improved Frost Presence,2,15
2284,Threat of Thassarian,2,15
2210,Blood of the North,2,15
1997,Acclimation,2,15
2040,Guile of Gorefiend,2,15
1998,Tundra Stalker,2,15
2082,Vicious Strikes,2,15
1932,Virulence,2,15
2218,Anticipation,2,0
1963,Epidemic,2,15
1933,Morbidity,2,15
2025,Unholy Command,2,15
1934,Ravenous Dead,2,15
2008,Outbreak,2,15
2047,Necrosis,2,15
2039,On a Pale Horse,2,15
2004,Blood-Caked Blade,2,15
2225,Night of the Dead,2,15
2005,Impurity,2,7
2011,Dirge,2,15
2226,Desecration,2,15
2009,Magic Suppression,2,15
2001,Reaping,2,15
2285,Desolation,2,15
2013,Improved Unholy Presence,2,15
1962,Crypt Fever,2,15
2003,Wandering Plague,2,15
2043,Ebon Plaguebringer,2,15
2036,Rage of Rivendare,2,15
2114,Cobra Reflexes,2,11
2116,Great Stamina,2,0
2117,Natural Armor,2,0
2126,Spiked Collar,2,17
2173,Blood of the Rhino,2,0
2122,Pet Barding,2,0
2110,Culling the Herd,2,0
2123,Guard Dog,2,17
2162,Lionhearted,2,0
2163,Grace of the Mantis,2,0
2161,Great Resistance,2,17
2258,Silverback,2,17
2255,Wild Hunt,2,17
2107,Cobra Reflexes,2,11
2112,Great Stamina,2,0
2113,Natural Armor,2,0
2124,Improved Cower,2,17
2128,Bloodthirsty,2,17
2125,Spiked Collar,2,17
2106,Culling the Herd,2,0
2152,Lionhearted,2,0
2129,Spider's Bite,2,17
2154,Great Resistance,2,17
2254,Shark Attack,2,17
2253,Wild Hunt,2,17
2118,Cobra Reflexes,2,11
2120,Great Stamina,2,0
2121,Natural Armor,2,0
2207,Mobility,2,9
2208,Mobility,2,9
2182,Owl's Focus,2,0
2127,Spiked Collar,2,17
2166,Culling the Herd,2,0
2167,Lionhearted,2,0
2168,Great Resistance,2,17
2177,Cornered,2,9
2183,Feeding Frenzy,2,9
2257,Grace of the Mantis,2,0
2256,Wild Hunt,2,17
long,str,3,class
1141,Incineration,3,3
26,Improved Fireball,3,3
34,Ignite,3,3
31,World in Flames,3,3
30,Impact,3,3
25,Improved Scorch,3,3
1639,Master of Elements,3,3
1730,Playing with Fire,3,3
33,Critical Mass,3,3
35,Fire Power,3,3
1733,Pyromaniac,3,3
1734,Empowered Fire,3,3
1850,Hot Streak,3,3
1851,Burnout,3,3
38,Frostbite,3,3
37,Improved Frostbolt,3,3
62,Ice Floes,3,3
73,Ice Shards,3,3
1649,Precision,3,3
65,Permafrost,3,3
61,Piercing Ice,3,3
63,Improved Blizzard,3,3
66,Frost Channeling,3,3
67,Shatter,3,3
64,Improved Cone of Cold,3,3
1736,Frozen Core,3,3
68,Winter's Chill,3,3
1738,Arctic Winds,3,3
1854,Brain Freeze,3,3
1855,Enduring Winter,3,3
1856,Chilled to the Bone,3,3
76,Arcane Focus,3,3
80,Arcane Stability,3,3
85,Arcane Fortitude,3,0
75,Arcane Concentration,3,3
81,Spell Impact,3,3
1845,Student of the Mind,3,0
1142,Arcane Meditation,3,0
2222,Torment the Weak,3,0
77,Arcane Mind,3,0
1726,Prismatic Cloak,3,3
421,Arcane Instability,3,3
1727,Arcane Empowerment,3,3
1844,Incanter's Absorption,3,0
1728,Mind Mastery,3,3
2209,Missile Barrage,3,3
1846,Netherwind Presence,3,3
124,Improved Heroic Strike,3,4
130,Deflection,3,0
641,Iron Will,3,0
128,Tactical Mastery,3,4
121,Deep Wounds,3,4
136,Two-Handed Weapon Specialization,3,0
2232,Taste for Blood,3,4
132,Poleaxe Specialization,3,0
125,Mace Specialization,3,0
123,Sword Specialization,3,0
129,Improved Hamstring,3,4
1824,Improved Mortal Strike,3,4
1662,Sudden Death,3,0
2231,Wrecking Crew,3,0
1601,Shield Specialization,3,4
141,Improved Thunder Clap,3,4
144,Incite,3,4
138,Anticipation,3,0
140,Toughness,3,4
146,Puncture,3,4
702,One-Handed Weapon Specialization,3,0
1660,Focused Rage,3,4
1653,Vitality,3,0
1893,Critical Block,3,4
1871,Sword and Board,3,4
2250,Armored to the Teeth,3,4
157,Cruelty,3,0
161,Improved Demoralizing Shout,3,4
159,Unbridled Wrath,3,0
166,Improved Cleave,3,4
661,Blood Craze,3,0
154,Commanding Presence,3,4
1581,Dual Wield Specialization,3,4
155,Enrage,3,4
1657,Precision,3,0
156,Flurry,3,0
1864,Intensify Rage,3,4
1658,Improved Berserker Stance,3,4
1866,Bloodsurge,3,4
2234,Unending Fury,3,4
203,Improved Gouge,3,8
221,Dual Wield Specialization,3,8
187,Deflection,3,0
181,Precision,3,0
182,Close Quarters Combat,3,0
186,Lightning Reflexes,3,0
1122,Aggression,3,8
184,Mace Specialization,3,0
242,Hack and Slash,3,0
1705,Vitality,3,0
1825,Combat Potency,3,8
2075,Prey on the Weak,3,0
276,Improved Eviscerate,3,8
270,Malice,3,0
273,Ruthlessness,3,8
277,Puncturing Wounds,3,8
269,Lethality,3,8
682,Vile Poisons,3,8
268,Improved Poisons,3,8
279,Improved Kidney Shot,3,8
283,Seal Fate,3,8
1723,Deadened Nerves,3,8
2069,Focused Attacks,3,0
1718,Find Weakness,3,8
1715,Master Poisoner,3,8
2066,Turn the Tables,3,0
2070,Cut to the Chase,3,8
2244,Relentless Strikes,3,8
241,Master of Deception,3,0
244,Camouflage,3,8
1123,Serrated Blades,3,8
246,Setup,3,0
245,Initiative,3,8
1713,Master of Subtlety,3,8
1702,Deadliness,3,0
1711,Enveloping Shadows,3,0
1722,Cheat Death,3,8
1712,Sinister Calling,3,8
2078,Honor Among Thieves,3,0
2080,Slaughter from the Shadows,3,8
342,Unbreakable Will,3,0
1898,Twin Disciplines,3,6
352,Silent Resolve,3,6
346,Improved Inner Fire,3,6
347,Meditation,3,0
343,Improved Power Word: Shield,3,6
1769,Absolution,3,6
341,Mental Agility,3,6
1201,Mental Strength,3,0
1772,Enlightenment,3,6
1858,Focused Will,3,0
1773,Improved Flash Heal,3,6
1896,Rapture,3,6
1895,Divine Aegis,3,6
1202,Borrowed Time,3,6
406,Improved Renew,3,6
401,Holy Specialization,3,6
411,Spell Warding,3,6
1181,Divine Fury,3,6
1636,Blessed Recovery,3,6
361,Inspiration,3,6
408,Improved Healing,3,6
402,Spiritual Guidance,3,6
404,Spiritual Healing,3,6
1768,Holy Concentration,3,6
1765,Blessed Resilience,3,6
1767,Empowered Healing,3,6
1904,Serendipity,3,6
1902,Empowered Renew,3,6
1903,Test of Faith,3,6
1905,Divine Providence,3,6
465,Spirit Tap,3,0
462,Darkness,3,6
466,Shadow Affinity,3,6
463,Shadow Focus,3,6
481,Improved Mind Blast,3,6
461,Shadow Weaving,3,6
1777,Focused Mind,3,6
2267,Improved Devouring Plague,3,6
1778,Shadow Power,3,6
1816,Misery,3,6
1909,Pain and Suffering,3,6
1907,Twisted Faith,3,6
564,Convection,3,11
563,Concussion,3,11
561,Call of Flame,3,11
1640,Elemental Warding,3,11
1645,Elemental Devastation,3,11
575,Reverberation,3,11
565,Elemental Fury,3,11
1642,Eye of the Storm,3,11
1682,Unrelenting Storm,3,11
1685,Elemental Precision,3,11
721,Lightning Mastery,3,11
2052,"Storm, Earth and Fire",3,11
1686,Lightning Overload,3,11
2050,Astral Shift,3,0
2051,Lava Flows,3,11
2252,Shamanism,3,11
586,Improved Healing Wave,3,11
595,Totemic Focus,3,11
1646,Healing Grace,3,11
593,Tidal Focus,3,11
583,Improved Water Shield,3,11
587,Healing Focus,3,11
581,Ancestral Healing,3,11
588,Restorative Totems,3,11
594,Tidal Mastery,3,11
1648,Healing Way,3,11
1695,Focused Mind,3,11
592,Purification,3,11
1699,Nature's Guardian,3,11
1696,Nature's Blessing,3,11
2061,Ancestral Awakening,3,11
2063,Tidal Waves,3,11
610,Enhancing Totems,3,11
614,Ancestral Knowledge,3,0
613,Thundering Strikes,3,0
607,Improved Shields,3,11
611,Elemental Weapons,3,11
601,Anticipation,3,0
602,Flurry,3,0
615,Toughness,3,0
2083,Mental Dexterity,3,11
1689,Unleashed Rage,3,0
1643,Weapon Mastery,3,0
1692,Dual Wield Specialization,3,8
2055,Static Shock,3,11
1691,Mental Quickness,3,11
2057,Maelstrom Weapon,3,11
796,Ferocity,3,7
795,Feral Aggression,3,7
799,Feral Instinct,3,7
794,Thick Hide,3,0
798,Sharpened Claws,3,0
803,Predatory Strikes,3,7
2242,Natural Reaction,3,7
808,Heart of the Wild,3,0
1794,Survival of the Fittest,3,7
1793,Primal Tenacity,3,7
2241,Protector of the Pack,3,7
1795,Predatory Instincts,3,7
1919,Infected Wounds,3,7
1921,King of the Jungle,3,7
1920,Improved Mangle,3,7
1918,Rend and Tear,3,7
823,Nature's Focus,3,7
822,Furor,3,7
824,Naturalist,3,7
841,Subtlety,3,7
826,Natural Shapeshifter,3,7
829,Intensity,3,7
843,Tranquil Spirit,3,7
830,Improved Rejuvenation,3,7
828,Gift of Nature,3,7
825,Nature's Bounty,3,7
1797,Living Spirit,3,7
1790,Natural Perfection,3,7
1789,Empowered Rejuvenation,3,7
1922,Living Seed,3,7
1929,Revitalize,3,7
1930,Improved Tree of Life,3,7
1916,Gift of the Earthmother,3,7
762,Starlight Wrath,3,7
2238,Genesis,3,7
783,Moonglow,3,7
782,Brambles,3,7
789,Nature's Grace,3,7
792,Vengeance,3,7
784,Celestial Focus,3,7
1782,Lunar Guidance,3,7
2239,Improved Insect Swarm,3,7
1784,Dreamstate,3,7
790,Moonfury,3,7
1912,Improved Moonkin Form,3,7
1785,Improved Faerie Fire,3,7
1913,Owlkin Frenzy,3,3
1786,Wrath of Cenarius,3,7
1924,Eclipse,3,7
1928,Earth and Moon,3,7
944,Improved Shadow Bolt,3,5
943,Bane,3,5
1887,Molten Skin,3,8
941,Cataclysm,3,5
967,Ruin,3,5
965,Improved Searing Pain,3,5
1817,Backlash,3,3
961,Improved Immolate,3,5
1679,Nether Protection,3,5
966,Emberstorm,3,5
1678,Soul Leech,3,5
986,Pyroclasm,3,5
1677,Shadow and Flame,3,5
1888,Backdraft,3,5
2045,Empowered Imp,3,5
1890,Fire and Brimstone,3,5
1005,Suppression,3,5
1003,Improved Corruption,3,5
1001,Fel Concentration,3,5
1764,Empowered Corruption,3,5
1763,Shadow Embrace,3,5
1042,Shadow Mastery,3,5
1878,Eradication,3,5
1669,Contagion,3,5
1667,Malediction,3,5
1875,Death's Embrace,3,5
1876,Everlasting Affliction,3,5
1222,Improved Imp,3,5
1223,Demonic Embrace,3,0
1225,Demonic Brutality,3,5
1242,Fel Vitality,3,5
1243,Improved Succubus,3,5
1671,Demonic Aegis,3,5
1262,Unholy Power,3,5
1244,Master Demonologist,3,0
1283,Molten Core,3,5
1680,Demonic Resilience,3,5
1263,Demonic Knowledge,3,5
1673,Demonic Tactics,3,5
1882,Improved Demonic Tactics,3,5
1884,Nemesis,3,5
1885,Demonic Pact,3,5
1382,Improved Aspect of the Hawk,3,9
1389,Endurance Training,3,9
